Total population,Median age,% BachelorsDeg or higher,Unemployment rate,Per capita income,Total households,Average household size,% Owner occupied housing,% Renter occupied housing,% Vacant housing,Median home value,Population growth,House hold growth,Per capita income growth,Winner
12119,42.1,14.7,6.1,21680.0,5278,2.23,64.0,24.9,11.0,82602.0,0.26,0.4,2.13,Barack Obama
21405,38.4,24.1,4.8,21658.0,7986,2.4,67.1,24.1,8.8,114740.0,-0.1,0.02,2.2,Barack Obama
6430,45.3,14.8,6.5,20610.0,2645,2.36,69.4,18.8,11.8,77026.0,-0.72,-0.67,2.07,Mitt Romney
19946,38.7,22.4,6.2,20286.0,7460,2.53,63.9,26.5,9.6,88515.0,-0.1,-0.14,2.05,Mitt Romney
10188,44.8,18.2,5.5,21437.0,4152,2.27,63.1,18.8,18.1,76813.0,-0.96,-0.96,2.13,Mitt Romney
14099,45.4,16.6,6.9,21220.0,5990,2.28,67.6,23.1,9.2,86926.0,-0.49,-0.41,2.2,Mitt Romney
16706,40.3,15.2,4.8,19194.0,6429,2.5,65.8,24.2,10.0,84879.0,-0.2,-0.18,1.99,Mitt Romney
8656,40.5,13.9,8.0,17954.0,3295,2.57,71.1,18.3,10.5,87143.0,0.03,0.07,1.78,Mitt Romney
17668,40.0,13.0,6.0,20558.0,6704,2.59,67.4,19.2,13.5,108648.0,-0.57,-0.45,1.94,Mitt Romney
17216,45.9,24.7,5.8,26000.0,7609,2.23,45.8,13.1,41.0,119150.0,0.26,0.37,2.35,Mitt Romney
10547,41.3,13.1,9.3,21877.0,4357,2.29,66.5,22.5,11.0,80970.0,-0.13,0.0,2.31,Mitt Romney
10500,44.3,17.2,7.4,22828.0,4322,2.38,65.9,22.4,11.8,81405.0,-0.19,-0.14,2.12,Mitt Romney
9628,44.6,17.3,5.7,21122.0,3974,2.36,63.9,20.9,15.2,75197.0,-1.03,-1.06,2.03,Mitt Romney
12366,43.7,20.2,7.4,23053.0,5066,2.41,72.7,18.5,8.8,105305.0,-0.23,-0.17,2.11,Mitt Romney
15562,41.6,20.5,6.0,23844.0,6458,2.38,65.0,24.4,10.6,93974.0,-0.74,-0.66,2.19,Mitt Romney
17696,42.8,20.0,7.2,22231.0,7271,2.32,65.0,22.4,12.6,81224.0,-0.62,-0.6,1.97,Mitt Romney
20335,39.0,19.1,8.6,21924.0,7678,2.42,64.9,23.9,11.2,103009.0,-0.13,-0.06,2.19,Mitt Romney
16162,41.7,18.6,5.7,22520.0,6439,2.47,71.3,20.4,8.2,115403.0,-0.05,-0.02,1.83,Mitt Romney
10907,42.4,13.9,7.2,20552.0,4479,2.4,68.5,19.1,12.4,78810.0,-0.47,-0.26,2.06,Mitt Romney
11335,40.2,14.3,4.2,20218.0,4379,2.54,72.1,16.7,11.2,90135.0,-0.4,-0.28,1.97,Mitt Romney
33494,39.1,22.4,7.8,23468.0,12793,2.46,68.5,22.3,9.2,113417.0,0.15,0.24,2.18,Mitt Romney
10795,42.8,15.5,10.1,20554.0,4538,2.33,60.4,22.3,17.3,76687.0,-0.85,-0.83,2.13,Mitt Romney
24583,39.3,22.6,3.9,23280.0,9477,2.56,69.6,20.4,10.0,115964.0,-0.19,-0.08,2.33,Mitt Romney
5211,45.4,13.5,5.8,18273.0,2172,2.34,58.6,19.0,22.4,69433.0,-0.48,-0.45,1.99,Mitt Romney
32785,34.2,23.6,4.0,20098.0,11319,2.65,74.3,18.5,7.2,114200.0,0.3,0.44,2.0,Mitt Romney
6378,43.6,14.5,6.8,19038.0,2626,2.37,62.2,19.6,18.2,63528.0,-1.0,-0.97,1.93,Mitt Romney
7841,43.8,14.3,8.2,18450.0,3253,2.37,70.8,18.4,10.8,69684.0,-0.18,-0.1,1.91,Mitt Romney
11069,41.4,19.3,7.4,23906.0,4606,2.31,67.3,21.6,11.1,86304.0,-0.5,-0.41,2.27,Mitt Romney
36441,29.5,44.8,7.6,22757.0,13847,2.35,53.6,39.3,7.1,170285.0,0.44,0.55,2.21,Barack Obama
82222,31.8,28.4,9.0,22457.0,29945,2.67,64.8,28.2,7.0,131015.0,0.86,0.93,2.31,Mitt Romney
9548,42.1,13.6,6.8,18325.0,3782,2.49,66.4,18.3,15.3,114411.0,0.51,0.59,1.94,Mitt Romney
2824,41.9,13.1,5.9,17722.0,1081,2.59,63.3,18.9,17.7,98333.0,0.12,0.22,1.86,Mitt Romney
6976,36.2,16.0,6.3,18650.0,2507,2.76,60.3,16.0,23.7,110377.0,-0.48,-0.35,1.96,Mitt Romney
1038,31.1,12.9,6.4,13149.0,346,3.0,42.0,20.4,37.7,92708.0,-0.51,-0.47,0.41,Mitt Romney
4393,46.4,20.4,3.4,19365.0,1826,2.37,43.2,14.4,42.4,122775.0,0.6,0.72,2.0,Mitt Romney
29853,29.5,19.8,8.2,18934.0,9492,2.74,44.1,32.7,23.3,133398.0,0.24,0.31,2.08,Mitt Romney
13080,29.5,15.8,7.9,16584.0,4028,3.23,71.6,17.6,10.8,136824.0,1.15,1.16,2.16,Mitt Romney
143638,38.1,21.9,10.7,22048.0,55281,2.57,66.0,23.0,11.1,192282.0,1.94,1.95,2.31,Mitt Romney
8225,47.4,20.9,6.2,19252.0,3498,2.34,59.9,18.8,21.3,132286.0,0.27,0.34,2.23,Mitt Romney
4274,36.9,17.6,5.3,17142.0,1503,2.81,65.0,14.4,20.6,127696.0,0.29,0.36,1.82,Mitt Romney
11414,35.4,12.6,6.0,16070.0,3980,2.85,56.6,24.6,18.8,111695.0,0.12,0.13,2.3,Mitt Romney
10057,32.3,31.9,4.1,23594.0,3609,2.78,55.9,19.7,24.4,272604.0,4.12,4.31,2.73,Mitt Romney
75925,35.9,18.7,8.4,21126.0,28824,2.58,62.9,29.5,7.7,150873.0,1.33,1.41,2.25,Mitt Romney
9248,47.4,30.1,8.4,22887.0,3963,2.32,29.3,7.9,62.7,207518.0,0.99,1.11,1.94,Mitt Romney
15862,44.3,16.0,12.5,22650.0,6547,2.38,59.4,18.6,22.1,97706.0,-0.54,-0.47,2.62,Barack Obama
195296,28.9,43.1,10.2,25244.0,77287,2.27,49.6,40.7,9.7,139396.0,0.35,0.52,3.34,Barack Obama
7574,44.4,12.3,10.4,20414.0,3142,2.39,57.5,15.8,26.7,73169.0,-0.92,-0.86,2.32,Barack Obama
22046,45.1,18.4,8.4,24802.0,9376,2.33,53.6,16.2,30.2,137835.0,-0.14,0.0,2.94,Barack Obama
526746,33.9,32.4,12.1,29485.0,173705,3.0,70.1,23.3,6.6,241144.0,1.52,1.49,2.86,Barack Obama
52389,41.0,17.8,10.6,22359.0,20824,2.3,61.8,25.6,12.6,87127.0,-0.73,-0.72,2.61,Barack Obama
16772,42.6,15.3,11.8,21982.0,6632,2.5,70.8,18.7,10.4,99939.0,-0.19,-0.12,2.43,Barack Obama
6133,42.9,14.7,12.4,24591.0,2469,2.48,63.4,13.9,22.7,130500.0,-0.46,-0.38,2.57,Barack Obama
712697,34.9,30.6,12.0,30905.0,236966,2.97,76.0,16.5,7.6,242349.0,1.57,1.57,2.49,Barack Obama
56000,36.5,17.7,18.2,26445.0,19552,2.85,69.5,19.6,10.9,185613.0,1.96,1.95,2.89,Mitt Romney
16774,42.0,16.6,13.2,21073.0,6944,2.38,64.2,19.5,16.3,89653.0,-0.15,-0.1,2.48,Mitt Romney
13734,41.9,12.0,13.3,18387.0,5620,2.38,68.3,18.2,13.5,70432.0,-0.51,-0.46,2.62,Mitt Romney
19497,41.0,12.6,9.3,19505.0,7522,2.38,66.9,17.3,15.7,75276.0,-0.49,-0.48,2.65,Mitt Romney
16400,40.5,14.0,9.2,26037.0,6690,2.41,65.4,22.5,12.2,105602.0,-0.25,-0.2,2.92,Mitt Romney
19644,39.0,16.8,8.1,21930.0,7559,2.56,68.2,20.8,11.0,100297.0,-0.22,-0.16,2.64,Mitt Romney
39406,42.9,14.1,15.5,17852.0,16764,2.32,66.0,20.1,13.9,68631.0,0.06,0.12,2.62,Mitt Romney
6057,44.2,8.0,11.2,17630.0,2599,2.3,65.4,16.5,18.1,59408.0,-0.65,-0.58,2.92,Mitt Romney
48998,38.0,18.3,13.0,27703.0,18932,2.57,65.6,25.4,9.0,194311.0,1.73,1.8,2.74,Mitt Romney
18933,43.1,18.7,13.5,20955.0,7660,2.42,67.4,17.3,15.3,80614.0,-0.64,-0.6,2.15,Mitt Romney
30330,42.5,12.3,9.0,21679.0,11947,2.48,65.3,20.4,14.3,110574.0,-0.34,-0.3,2.42,Mitt Romney
40137,40.2,16.9,11.4,19929.0,15609,2.41,63.4,22.5,14.1,86633.0,-0.07,-0.01,2.78,Mitt Romney
23065,40.4,15.3,10.1,23522.0,8791,2.52,67.4,19.8,12.7,128820.0,0.35,0.45,2.87,Mitt Romney
16551,41.2,11.8,9.9,18851.0,6010,2.32,63.5,20.1,16.5,62544.0,-0.53,-0.57,2.63,Mitt Romney
37748,38.9,15.7,11.8,23085.0,14074,2.48,65.2,23.4,11.4,111042.0,-0.36,-0.32,2.73,Mitt Romney
32813,31.3,31.7,10.2,19979.0,11842,2.24,53.7,33.0,13.3,84232.0,-0.47,-0.51,2.84,Mitt Romney
108924,40.2,20.5,14.4,24774.0,45371,2.32,62.1,25.8,12.1,93690.0,-0.58,-0.33,3.33,Mitt Romney
48175,41.4,14.5,11.3,21188.0,19127,2.45,67.6,18.9,13.4,99558.0,-0.2,-0.14,2.62,Mitt Romney
270134,39.0,23.6,12.3,25585.0,108773,2.43,66.2,24.6,9.2,118821.0,0.31,0.43,3.11,Mitt Romney
13070,44.2,17.5,10.0,22897.0,5264,2.43,66.7,17.3,16.0,112705.0,-0.09,-0.01,2.46,Mitt Romney
15085,41.7,13.2,11.4,18881.0,6312,2.34,66.2,19.2,14.6,85789.0,-0.07,0.0,2.78,Mitt Romney
12633,41.2,24.1,8.8,25745.0,5004,2.49,68.2,18.9,12.9,123111.0,-0.38,-0.31,2.7,Mitt Romney
55755,39.2,20.5,13.1,25077.0,21255,2.59,67.4,23.6,9.0,163733.0,0.55,0.6,2.81,Mitt Romney
22580,39.5,12.7,15.1,18884.0,8430,2.38,66.7,19.1,14.1,78549.0,-0.25,-0.19,2.57,Mitt Romney
16881,42.6,24.8,8.5,26340.0,6775,2.46,73.1,18.7,8.2,126163.0,-0.02,0.05,2.64,Mitt Romney
16514,42.3,12.3,9.9,18049.0,6604,2.4,60.7,18.6,20.6,76024.0,-0.49,-0.46,2.14,Mitt Romney
4125,44.8,13.2,14.5,18473.0,1679,2.29,56.3,12.9,30.8,80688.0,-0.66,-0.62,2.51,Mitt Romney
15504,41.6,15.7,14.1,19704.0,6435,2.36,62.4,19.8,17.9,85574.0,-0.53,-0.46,2.66,Mitt Romney
5179,41.5,14.8,8.1,19827.0,2107,2.43,64.6,19.4,16.1,77727.0,-0.72,-0.64,2.38,Mitt Romney
6195,42.3,13.8,11.3,20170.0,2508,2.42,68.3,20.9,10.9,93367.0,-0.24,-0.16,2.39,Mitt Romney
12112,41.2,12.9,13.5,20226.0,4939,2.42,62.5,21.2,16.3,70424.0,-0.71,-0.63,2.56,Mitt Romney
14988,41.5,16.1,9.3,22402.0,5841,2.52,69.8,17.1,13.1,103877.0,-0.17,-0.13,2.54,Mitt Romney
39275,40.2,24.8,9.2,26602.0,14398,2.65,75.8,16.4,7.8,152311.0,0.75,0.85,2.73,Mitt Romney
112536,39.1,17.0,11.8,23582.0,42659,2.48,65.0,22.0,12.9,115995.0,0.16,0.26,2.53,Barack Obama
165244,38.6,26.3,8.7,29713.0,63535,2.54,70.5,21.9,7.6,146246.0,0.74,0.92,2.54,Barack Obama
34031,34.5,13.0,11.0,21092.0,12203,2.74,69.8,21.2,9.0,106835.0,0.05,0.18,2.46,Mitt Romney
75953,38.5,26.0,10.1,25967.0,29798,2.52,66.7,23.6,9.7,121317.0,0.63,0.65,2.61,Mitt Romney
15391,44.5,22.0,10.9,24377.0,6202,2.46,65.9,12.0,22.0,128626.0,-0.6,-0.49,2.48,Mitt Romney
109822,39.0,17.4,9.5,25333.0,45661,2.37,64.4,27.9,7.7,117410.0,1.09,1.29,2.69,Mitt Romney
33800,37.9,12.6,11.5,21880.0,12634,2.6,66.2,24.8,9.0,107365.0,-0.17,-0.13,2.39,Mitt Romney
30321,37.3,12.0,6.4,18904.0,11234,2.66,68.9,19.5,11.5,88095.0,0.2,0.24,2.28,Mitt Romney
51396,39.0,18.5,10.6,25121.0,19202,2.65,72.9,20.1,7.0,133923.0,0.76,0.89,2.52,Mitt Romney
25402,38.0,14.1,12.4,23154.0,10026,2.5,67.0,24.4,8.7,111256.0,0.19,0.36,2.47,Mitt Romney
42421,36.8,14.9,12.5,24412.0,16334,2.57,74.0,17.4,8.6,106250.0,0.31,0.44,2.35,Mitt Romney
41926,38.6,17.5,6.9,23905.0,16069,2.56,72.6,20.9,6.5,108589.0,0.31,0.45,2.43,Mitt Romney
24396,40.0,9.9,14.8,23412.0,9969,2.4,63.1,25.4,11.5,96010.0,-0.46,-0.34,2.56,Mitt Romney
20362,40.3,12.6,10.5,21389.0,8133,2.48,66.0,18.5,15.5,91543.0,-0.09,-0.04,1.94,Mitt Romney
68609,39.2,17.1,12.4,22801.0,26909,2.35,63.1,23.4,13.5,86482.0,-0.83,-0.73,2.61,Mitt Romney
83355,39.2,21.5,15.8,27752.0,34833,2.36,62.1,25.0,12.9,90554.0,-0.23,-0.13,2.69,Mitt Romney
37730,38.1,17.0,11.9,23523.0,14387,2.51,67.7,20.5,11.9,98823.0,-0.23,-0.12,2.45,Mitt Romney
45372,41.1,13.3,11.8,21977.0,18865,2.37,68.4,18.7,12.9,88731.0,-0.11,0.05,2.44,Mitt Romney
9987,41.7,9.0,7.8,21315.0,4162,2.37,65.5,15.7,18.8,77638.0,-0.48,-0.31,2.28,Mitt Romney
71529,38.5,15.3,10.4,24628.0,26651,2.66,71.9,18.5,9.6,126972.0,0.36,0.45,2.56,Mitt Romney
48557,35.5,13.7,13.6,21768.0,17798,2.69,69.2,19.9,10.9,107437.0,0.2,0.27,2.33,Mitt Romney
44615,38.7,15.6,11.3,24964.0,17401,2.52,66.1,24.1,9.8,114316.0,0.22,0.35,2.58,Mitt Romney
23943,39.5,10.6,12.6,19751.0,9079,2.6,68.5,16.6,14.9,99846.0,0.05,0.16,2.09,Mitt Romney
34449,37.9,18.6,11.9,24340.0,13503,2.48,53.7,15.4,30.9,108100.0,0.07,0.18,2.38,Mitt Romney
21473,39.9,11.3,10.4,19191.0,7845,2.45,68.0,17.6,14.3,76709.0,-0.14,-0.08,2.38,Mitt Romney
7290,38.8,11.3,11.0,21519.0,2823,2.55,63.6,20.6,15.8,96522.0,-0.13,-0.04,2.3,Mitt Romney
176122,38.8,22.9,9.3,25216.0,73401,2.3,59.6,30.3,10.0,96026.0,0.21,0.3,2.8,Mitt Romney
32859,39.8,16.7,11.3,23222.0,12704,2.43,67.6,21.9,10.5,92745.0,-0.66,-0.57,2.39,Mitt Romney
8732,41.7,16.9,8.7,22565.0,3418,2.52,71.2,17.0,11.8,94102.0,-0.02,0.1,2.32,Mitt Romney
59904,39.6,25.3,7.7,27239.0,22878,2.59,75.4,15.6,9.0,114336.0,1.09,1.24,2.52,Mitt Romney
28282,38.9,17.0,9.9,23557.0,10903,2.55,73.3,17.8,8.9,99633.0,0.09,0.2,2.26,Mitt Romney
115494,28.4,47.6,7.2,24696.0,45105,2.37,47.9,45.2,6.8,151736.0,1.57,1.7,2.78,Barack Obama
154415,33.7,14.9,11.3,20174.0,58777,2.6,53.8,32.9,13.3,70855.0,-0.22,-0.22,2.29,Barack Obama
13459,41.1,15.4,7.5,18705.0,5489,2.39,62.8,21.8,15.3,65166.0,-0.73,-0.66,2.25,Mitt Romney
16513,37.0,21.5,9.6,18928.0,6270,2.47,65.0,24.3,10.7,84967.0,-0.2,-0.13,2.17,Mitt Romney
2990,43.7,19.9,4.6,20208.0,1255,2.29,56.8,20.7,22.5,78772.0,-0.3,-0.21,2.17,Mitt Romney
4051,47.1,14.9,8.4,18018.0,1674,2.33,61.5,14.4,24.2,52143.0,-0.87,-0.91,2.51,Mitt Romney
9372,44.1,21.3,4.4,20524.0,3833,2.27,58.0,20.7,21.4,63452.0,-0.91,-0.9,2.33,Mitt Romney
8551,42.2,20.4,6.4,20639.0,3391,2.47,65.3,18.3,16.4,89627.0,-0.44,-0.43,2.05,Mitt Romney
34428,38.9,21.4,9.6,20222.0,13471,2.42,59.6,24.8,15.7,79225.0,-0.61,-0.58,2.18,Mitt Romney
7898,38.5,15.1,7.2,18706.0,3090,2.43,64.3,22.3,13.4,68584.0,-0.55,-0.48,2.2,Mitt Romney
3101,43.7,19.6,5.0,19411.0,1318,2.31,58.1,17.3,24.6,55213.0,-1.03,-1.04,2.29,Mitt Romney
3092,48.6,10.9,7.3,18435.0,1350,2.23,57.7,14.4,28.0,50091.0,-0.54,-0.54,2.26,Mitt Romney
27630,34.1,33.8,4.3,23217.0,11522,2.29,56.9,34.0,9.0,117470.0,0.33,0.47,2.55,Mitt Romney
33749,31.0,20.2,5.3,19353.0,11101,2.97,58.1,31.9,10.0,95561.0,0.0,-0.09,2.34,Mitt Romney
5862,45.2,16.9,6.0,18842.0,2509,2.27,57.2,20.4,22.5,63859.0,-1.02,-1.0,2.23,Mitt Romney
2048,43.0,20.0,2.9,18769.0,789,2.55,61.3,17.5,21.3,75111.0,-0.38,-0.36,2.33,Mitt Romney
549792,36.8,50.8,5.6,38963.0,214048,2.55,68.3,26.7,5.0,192880.0,1.44,1.48,2.07,Mitt Romney
2907,43.4,22.2,4.9,20107.0,1240,2.26,47.8,18.9,33.3,60962.0,-1.19,-1.12,2.12,Mitt Romney
21958,40.3,18.8,7.5,18963.0,8965,2.35,62.7,23.9,13.4,67670.0,-0.41,-0.23,2.3,Mitt Romney
1892,45.2,21.6,2.8,22234.0,819,2.28,60.0,18.1,21.9,65379.0,-1.3,-1.2,2.32,Mitt Romney
77230,36.9,26.9,6.7,24234.0,26437,2.66,61.0,30.2,8.7,123682.0,0.86,0.99,2.28,Mitt Romney
3324,47.5,20.6,4.8,18715.0,1439,2.26,59.5,17.1,23.4,60968.0,-0.79,-0.73,2.01,Mitt Romney
2699,43.3,20.7,3.7,20057.0,1118,2.36,59.3,19.3,21.4,70758.0,-1.2,-1.13,2.38,Mitt Romney
29724,39.2,25.9,4.4,23332.0,11404,2.46,66.9,24.1,9.0,115108.0,-0.36,-0.34,2.24,Mitt Romney
12490,44.5,21.2,5.7,19200.0,4780,2.45,63.2,16.5,20.3,81633.0,-0.88,-0.92,2.0,Mitt Romney
4515,38.0,20.0,4.1,19386.0,1672,2.63,62.9,22.0,15.1,78176.0,-0.39,-0.42,2.31,Mitt Romney
6261,45.2,19.8,6.5,21613.0,2616,2.26,58.6,20.0,21.4,75906.0,-0.94,-0.89,2.43,Mitt Romney
34274,41.1,18.9,10.6,19497.0,14287,2.34,58.4,23.7,18.0,71025.0,-0.37,-0.3,2.32,Mitt Romney
5975,45.3,16.3,5.6,20607.0,2519,2.34,59.0,17.4,23.6,77149.0,0.31,0.39,2.27,Mitt Romney
3026,47.5,21.2,2.7,21824.0,1363,2.16,56.2,18.0,25.7,58111.0,-1.32,-1.2,2.42,Mitt Romney
5413,42.0,18.4,4.8,18695.0,2057,2.25,59.2,17.6,23.2,67850.0,-0.95,-1.04,2.4,Mitt Romney
5462,45.5,19.1,3.6,20431.0,2296,2.32,57.6,16.7,25.6,71174.0,-0.84,-0.79,2.16,Mitt Romney
2583,49.0,18.9,2.6,20041.0,1137,2.22,55.4,17.3,27.3,57946.0,-1.38,-1.23,2.39,Mitt Romney
70367,24.9,45.1,7.8,21036.0,25347,2.39,43.8,50.6,5.6,136783.0,1.24,1.49,2.73,Mitt Romney
4686,42.7,26.9,3.2,25229.0,1911,2.41,61.5,21.4,17.1,92340.0,-0.68,-0.55,2.86,Mitt Romney
488178,35.0,27.3,9.1,25590.0,193041,2.5,59.0,30.7,10.3,97276.0,0.82,0.87,2.45,Mitt Romney
176464,39.0,30.4,6.5,25944.0,73431,2.34,61.5,30.3,8.2,97483.0,0.31,0.43,2.57,Mitt Romney
6095,39.3,17.8,4.0,20463.0,2526,2.36,55.1,25.2,19.7,83433.0,-0.69,-0.62,2.35,Mitt Romney
3976,49.6,19.8,3.8,17831.0,1723,2.24,58.4,15.7,25.9,57259.0,-1.31,-1.31,2.01,Mitt Romney
1614,42.7,17.6,5.2,20179.0,644,2.47,62.8,18.6,18.6,63900.0,-0.65,-0.5,2.85,Mitt Romney
2275,37.8,18.7,3.3,19534.0,890,2.53,59.3,20.5,20.2,71146.0,-1.35,-1.24,2.55,Mitt Romney
9643,43.1,13.3,10.3,17735.0,3954,2.38,61.8,18.2,20.0,61691.0,-0.7,-0.68,1.99,Mitt Romney
19195,38.9,12.0,12.6,17719.0,7591,2.5,65.7,18.0,16.4,82616.0,0.81,0.9,0.88,Mitt Romney
8392,42.9,13.2,6.8,20464.0,3505,2.35,69.9,16.1,14.0,69626.0,0.03,0.12,0.8,Mitt Romney
48822,42.8,17.2,9.1,21688.0,20069,2.32,63.1,24.4,12.5,92339.0,-0.13,0.0,0.86,Mitt Romney
19305,41.6,9.7,11.7,18327.0,7796,2.44,58.0,13.6,28.4,80516.0,0.14,0.29,0.99,Mitt Romney
77411,37.4,11.4,11.4,23232.0,29187,2.64,78.7,16.0,5.3,148925.0,1.73,1.91,1.83,Mitt Romney
86933,37.2,24.6,11.1,27323.0,35646,2.38,61.5,29.1,9.3,116826.0,-0.22,-0.03,1.89,Mitt Romney
27501,39.1,11.8,13.7,16216.0,10984,2.45,68.7,16.9,14.4,63418.0,0.04,0.24,1.24,Mitt Romney
16238,40.8,10.2,12.9,15124.0,6799,2.36,67.0,16.6,16.4,61549.0,0.27,0.43,1.58,Mitt Romney
24066,37.2,11.5,17.0,12005.0,8695,2.52,64.1,22.4,13.5,46830.0,-0.24,-0.07,1.6,Mitt Romney
42563,39.8,12.8,15.6,15143.0,17589,2.36,67.0,21.6,11.4,58396.0,0.07,0.27,1.3,Mitt Romney
8309,37.5,9.0,11.4,19408.0,3133,2.62,65.3,19.9,14.8,101253.0,-0.08,0.03,0.65,Mitt Romney
11530,43.6,12.3,12.6,17344.0,4821,2.36,63.8,18.5,17.8,71451.0,0.08,0.19,1.34,Mitt Romney
37581,42.9,14.3,9.1,20669.0,15360,2.42,71.8,17.2,11.0,87370.0,0.17,0.36,0.89,Mitt Romney
8722,38.1,10.1,10.5,20436.0,3463,2.5,72.2,16.3,11.5,81754.0,0.28,0.47,0.6,Mitt Romney
31201,41.2,11.9,16.6,13721.0,12926,2.38,60.8,22.8,16.4,51022.0,-0.58,-0.41,1.28,Mitt Romney
18893,40.6,13.4,10.7,20896.0,7546,2.47,63.0,26.3,10.7,103983.0,0.32,0.44,0.66,Mitt Romney
18958,39.5,9.6,12.3,15831.0,7497,2.5,63.4,19.1,17.4,81254.0,0.52,0.6,1.05,Mitt Romney
46445,41.3,13.5,11.3,20366.0,19337,2.36,65.1,23.0,11.9,70008.0,-0.01,0.14,0.96,Mitt Romney
24099,40.8,12.1,13.5,16516.0,9697,2.43,64.9,20.6,14.5,67710.0,0.32,0.5,1.25,Mitt Romney
17695,39.3,13.8,18.3,13889.0,7000,2.45,67.9,18.4,13.6,50576.0,0.1,0.3,1.22,Mitt Romney
16382,39.9,9.0,16.5,14175.0,6484,2.5,62.6,18.4,18.9,59162.0,0.4,0.58,1.44,Mitt Romney
7628,40.6,6.5,15.6,14585.0,2962,2.33,64.2,20.9,14.9,51903.0,-0.44,-0.32,1.58,Mitt Romney
11830,39.6,6.6,17.5,12805.0,4856,2.41,67.2,15.6,17.2,41889.0,-0.43,-0.25,1.24,Mitt Romney
27148,39.0,12.4,10.7,19280.0,11006,2.44,64.6,21.6,13.8,85786.0,0.21,0.34,0.8,Mitt Romney
65387,42.3,21.6,9.9,23567.0,28466,2.25,59.6,28.0,12.4,92771.0,0.14,0.29,0.79,Mitt Romney
19102,36.6,9.4,18.5,12112.0,6884,2.47,64.8,21.5,13.7,51150.0,0.12,0.31,1.36,Mitt Romney
83835,33.5,26.7,9.8,20536.0,32488,2.42,53.1,36.6,10.3,114767.0,1.54,1.63,0.69,Mitt Romney
13389,37.3,9.0,19.5,13029.0,5225,2.53,71.9,17.0,11.1,49759.0,-0.24,-0.07,1.48,Mitt Romney
27764,34.3,13.9,15.7,19806.0,10338,2.68,64.5,23.9,11.6,97188.0,-0.29,-0.11,1.06,Mitt Romney
22184,41.3,16.8,10.8,21560.0,9220,2.39,66.2,23.1,10.7,110716.0,0.47,0.61,0.62,Mitt Romney
26096,38.6,17.1,12.4,20613.0,10648,2.41,64.4,26.1,9.4,99578.0,1.32,1.5,0.86,Mitt Romney
6774,41.2,9.9,15.3,18336.0,2750,2.43,63.5,21.8,14.7,76585.0,-0.21,-0.11,0.98,Mitt Romney
23889,40.2,9.7,9.4,17758.0,9543,2.47,70.8,18.0,11.2,70986.0,0.22,0.36,0.98,Mitt Romney
59931,39.3,34.9,8.8,35374.0,19844,2.82,81.9,13.0,5.1,217099.0,1.6,1.79,1.27,Mitt Romney
11579,40.3,11.9,11.1,18768.0,4578,2.51,59.7,17.0,23.3,92433.0,0.7,0.8,0.66,Mitt Romney
4761,42.0,10.9,13.6,11410.0,1914,2.44,61.7,18.4,19.9,48385.0,-0.3,-0.15,1.76,Mitt Romney
29485,39.5,12.0,15.9,14836.0,11918,2.44,66.7,20.6,12.7,56041.0,-0.1,0.09,1.32,Mitt Romney
13950,37.5,9.0,13.9,15900.0,5496,2.52,65.7,23.4,10.9,72319.0,0.53,0.7,1.3,Mitt Romney
22742,32.7,27.3,11.4,18091.0,8405,2.33,59.8,26.8,13.4,82282.0,0.41,0.6,1.28,Mitt Romney
13491,43.9,15.1,15.1,20481.0,5728,2.34,61.9,14.7,23.4,101241.0,0.46,0.59,0.85,Mitt Romney
11622,40.9,17.1,13.4,19308.0,4552,2.48,70.9,18.4,10.7,94879.0,0.54,0.74,1.01,Mitt Romney
13803,40.3,9.1,11.2,18813.0,5547,2.44,66.5,19.3,14.2,59591.0,-0.39,-0.29,0.75,Mitt Romney
25256,40.5,30.3,8.8,28424.0,9984,2.49,68.6,26.0,5.4,163207.0,0.6,0.76,1.53,Mitt Romney
8195,32.1,14.7,16.7,11493.0,2614,2.73,47.9,30.8,21.3,49882.0,-1.38,-1.42,0.99,Barack Obama
32992,36.2,11.3,8.6,16045.0,10891,2.73,65.1,20.6,14.3,99595.0,-0.17,-0.03,0.67,Barack Obama
12172,31.3,13.0,11.0,12041.0,4183,2.67,50.8,33.0,16.2,60066.0,-0.97,-0.93,0.98,Barack Obama
21505,36.7,11.4,11.6,16810.0,7346,2.89,74.9,13.9,11.2,104516.0,-0.44,-0.27,0.39,Barack Obama
5558,39.0,17.5,14.4,15156.0,2191,2.31,42.9,20.3,36.8,57692.0,-1.71,-1.43,1.25,Barack Obama
25818,36.4,10.9,10.3,15575.0,8526,2.54,65.7,22.0,12.4,81245.0,0.06,0.24,0.76,Mitt Romney
23119,37.0,8.9,10.4,16356.0,8390,2.73,65.8,13.7,20.5,87488.0,-0.17,-0.01,0.36,Mitt Romney
35093,37.5,15.5,8.5,18068.0,13308,2.55,65.9,17.6,16.5,88764.0,0.34,0.51,0.47,Mitt Romney
14864,40.3,13.0,11.1,14290.0,5919,2.45,54.5,16.4,29.1,58137.0,-0.62,-0.49,0.61,Mitt Romney
10656,39.0,11.1,8.7,14245.0,4101,2.47,58.8,12.8,28.3,56885.0,-0.21,-0.06,0.82,Mitt Romney
19307,38.8,11.3,10.6,13952.0,7413,2.51,56.6,19.3,24.1,66741.0,-0.55,-0.39,0.64,Mitt Romney
